Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
МБОУ СО №76;Белово;1;83;54.4221442;86.3036438
"МАОУ ""Гимназия города Юрги""";Юрга;1;83;55.7202689;84.8885516
МАОУ Лицей 46;Уфа;1;83;54.734853;55.9578647
Средняя школа-гимназия 10 г.Талдыкорган Р.Казахстан;Талдыкорган;2;83;45.01556;78.37389
муниципальное автономное общеобразовательное учреждение лицей №1 имени А.С. Пушкина г. Томска Томской области;Томилино;1;83;55.65619;37.94713
МБОУ лицей при ТПУ г.Томска;Томск;6;83;56.4847036;84.9481737
МБОУ Академический лицей г.Томска имени Г.А. Псахье;Томск;3;83;56.4847036;84.9481737
МАОУ СОШ № 58 город Томск;Томск;1;83;56.4847036;84.9481737
Тяжинская средняя общеобразовательная школа 1 пгт.Тяжинский;Тяжинский;2;82;56.11607;88.52279
КГУ школа-лицей № 27 акимата г. Нур-Султан;Нур-Султан;1;82;51.1801;71.44598
Куйбышевский политехнический колледж;Куйбышев;7;81;55.4684104;78.3241042
СУНЦ Университета. г. Новосибирск;Новосибирск;2;81;55.0281016;82.9210575
Ангарский лицей №1;Ангарск;2;81;52.5448102;103.8885385
"МАОУ ""Агинская окружная гимназия - интернат""";Агинское;2;81;51.1;114.53
МБОУСОШ№1 п.г.т. Каа-Хем;Каа-Хем;2;81;51.68333;94.73333
"МБНОУ""Городской классический лицей""";Кемерово;4;81;55.3909721;86.0467864
МАОУ лицей №1 имени А.С.Пушкина г. Томск Томской области;Томск;2;81;56.4847036;84.9481737
Школа-лицей 46;Шымкент;1;81;42.3;69.6
"КГКП ""Шахтинский технологический колледж""";Шахтинск;1;80;49.707604;72.589723
МОУ Турунтаевская средняя общеобразовательная школа №1;Турунтаево;1;80;52.20203;107.64484
МАОУ СОШ №9 с углубленным изучением отдельных предметов;Тобольск;1;80;58.2016828;68.2538392
Средняя общеобразовательная школа №4 имени И.С.Черных города Томска;Томск;2;80;56.4847036;84.9481737
Муниципальная средняя (полная) общеобразовательная школа № 47 г.Томск;Томск;2;80;56.4847036;84.9481737
"ГБНОУ ""Губернаторская женская гимназия-интернат""";Кемерово;1;80;55.3909721;86.0467864
Средняя общеобразовательная школа №27;Комсомольск-на-Амуре;1;80;50.550011;137.0079286
"МБОУ ""СОШ №89 с углубленным изучением отдельных предметов"" ";Ижевск;1;80;56.8527444;53.2113961
Средняя общеобразовательная школа 163 г.Зеленогорск;Зеленогорск;1;80;56.1133001;94.5888736
"МБОУ города Абакана ""Гимназия""";Абакан;1;80;53.7223661;91.4437792
Средняя общеобразовательная школа 55 г.Барнаула;Барнаул;1;80;53.3481145;83.7798362
Гимназия 42 г.Барнаул;Барнаул;1;80;53.3481145;83.7798362
Средняя школа имени М.Горького Каратальского района Алматинской области КАЗАХСТАН;Бастобе;1;80;45.29377175;77.97679067
Структурное подразделение Новосибирского государственного университета Специализированный учебно-научный центр Университета;Новосибирск;2;80;55.0281016;82.9210575
"МОУ ""Гимназия №1 г. Нерюнгри им. С. С. Каримовой""";Нерюнгри;2;80;56.6600322;124.72031
МБОУ СОШ№30;Озерск;1;80;54.4084804;22.013508
МБОУ СОШ№30;Озерск;1;80;55.7631922;60.7076337
"БОУ г.Омска ""Лицей № 92""";Омск;2;80;54.9848136;73.3674638
Средняя школа № 6;Норильск;1;79;69.3490828;88.2009965
Средняя общеобразовательная школа 2 г.Риддер Р.Казахстан;Риддер;1;79;51.07371953;83.94533081
"Гимназия ""Планета Детства"" г.Рубцовск";Рубцовск;1;79;51.5013075;81.2077729
Новосибирский колледж автосервиса и дорожного хозяйства;Новосибирск;1;79;55.0281016;82.9210575
Средняя общеобразовательная школа с углубленным изучением отдельных предметов 38;Курган;1;79;55.4443448;65.3161339
Гимназия 1;Минусинск;2;79;53.7105509;91.6871866
МБОУ Лицей №20 г. Междуреченска;Междуреченск;1;79;53.6865695;88.0703888
Нетиповое муниципальное бюджетное общеобразовательное учреждение Анжеро-Судженского городского округа Гимназия 11;Анжеро-Судженск;5;79;56.0787179;86.0202207
Средняя общеобразовательная школа 28 г.Балаково;Балаково;1;79;52.0222694;47.7828146
"Муниципальное общеобразовательное учреждение ""Захаровская средняя общеобразовательная школа"" Красночикойского района Забайкальского края";Захарово;1;79;54.366;39.2792
Муниципальное казенное общеобразовательное учреждение Здвинская средняя школа №2;Здвинск;1;79;54.70206;78.66105
Кожевниковская средняя общеобразовательная школа № 1;Кожевниково;1;79;56.25889;83.97139
Средняя общеобразовательная школа № 25 г.Томска;Томск;1;79;56.4847036;84.9481737
"Частное общеобразовательное учреждение ""Лицей ТГУ"" г. Томск";Томск;1;79;56.4847036;84.9481737
Средняя общеобразовательная школа 19 г.Улан-Удэ;Улан-Удэ;2;79;51.8334378;107.5841511
"КГУ ""Общеобразовательная школа №30"" акимата города Усть-Каменогорска";Усть-Каменогорск;1;79;49.97143;82.60586
"ГБОУ ""Лицей-интернат №61""";Улан-Удэ;2;78;51.8334378;107.5841511
Муниципальная средняя (полная) общеобразовательная школа № 22 г.Томск;Томск;3;78;56.4847036;84.9481737
МБОУ Средняя общеобразовательная школа № 11 г.Томска;Томск;1;78;56.4847036;84.9481737
"Муниципальное автономное общеобразовательное учреждение ""Лицей 10"" г. Каменск-Уральский";Каменск-Уральский;1;78;56.4149095;61.9189837
"МБОУ ""Гимназия № 71"" (""Радуга"") ";Кемерово;1;78;55.3909721;86.0467864
"КГАОУ ""Школа космонавтики""";Железногорск;4;78;52.3378753;35.3516834
"КГАОУ ""Школа космонавтики""";Железногорск;4;78;56.2529346;93.532167
"МБОУ ""Средняя школа №90""";Железногорск;1;78;52.3378753;35.3516834
"МБОУ ""Средняя школа №90""";Железногорск;1;78;56.2529346;93.532167
Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан;Абай;1;78;49.63575;72.86164
"МАОУ ""Ангарский лицей №1"" Иркутской области";Ангарск;1;78;52.5448102;103.8885385
"ГАНООРТ ""Государственный лицей РТ""";Кызыл;1;78;51.7191542;94.4377234
Муниципальное казенное общеобразовательное учреждение Новосибирского района Новосибирской области Краснообская средняя общеобразовательная школа №2;Краснообск;1;78;54.9198;82.9909
"муниципальное бюджетное нетиповое общеобразовательное учреждение ""Лицей № 84 имени В.А.Власова ";Новокузнецк;2;78;53.7942757;87.2144046
МАОУ СОШ №77;Свердловская;1;78;48.08964;39.65243
Муниципальная средняя (полная) общеобразовательная школа № 88 г.Северск;Северск;1;78;56.6031143;84.8809687
"МБОУ ""СОШ №156 с углубленным изучением предметов художественно-эстетического цикла""";Новосибирск;1;78;55.0281016;82.9210575
ГБПОУ НСО Новосибирский химико-технологический колледж им. Д. И. Менделеева;Новосибирск;11;77;55.0281016;82.9210575
Средняя общеобразовательная школа 162 г.Омск;Омск;1;77;54.9848136;73.3674638
"МКОУ ""Побединская средняя общеобразовательная школа""";Победа;1;77;58.28922546;75.78623591
МБОУ Средняя общеобразовательная шклла №60 г. Новокузнецка;Новокузнецк;1;77;53.7942757;87.2144046
Новосибирский государственный педагогический университет;Новосибирск;1;77;55.0281016;82.9210575
НОУ Православная гимназия во имя преподобного Сергия Радонежского;Новосибирск;1;77;55.0281016;82.9210575
Куйбышевский политехнический техникум;Куйбышев;1;77;55.4684104;78.3241042
Лицей 1 г.Ангарска;Ангарск;1;77;52.5448102;103.8885385
МБОУ СОШ №13 г. Бердска;Бердск;1;77;54.7582375;83.1072212
Лицей 17 г.Березовский;Березовский;2;77;55.6692853;86.2744636
Лицей 17 г.Березовский;Березовский;2;77;56.9096284;60.8180256
Муниципальное бюджетное общеобразовательное учреждение - средняя общеобразовательная школа № 1 г. Завитинска Амурской области;Завитинск;1;77;50.1064678;129.4392897
Средняя общеобразовательная школа 14 г.Киселевск;Киселевск;1;77;54.0060382;86.6367387
Лицей №62 г. Кемерово;Кемерово;1;77;55.3909721;86.0467864
КГУ Областная специализированная IT-школа-лицей управления образования ВКО;Усть-Каменогорск;1;77;49.97143;82.60586
Областная специализ. школа-лицей для детей. одаренных в обл. матем..физ..информ. г.Усть-Каменогорска;Усть-Каменогорск;2;76;49.97143;82.60586
Чапаевский губернский колледж Самарской области;Чапаевск;1;76;52.9289662;49.8674222
МАОУ СОШ №2;Чернушка;1;76;56.5161079;56.0763919
МАОУ Лицей №1 им. А.С. Пушкина;Томск;1;76;56.4847036;84.9481737
МАОУ СОШ № 44 г.Томск;Томск;1;76;56.4847036;84.9481737
МКОУ Краснозерского района Новосибирской области Краснозерская средняя общеобразовательная школа №1;Краснозерское;1;76;53.98277;79.23735
"МБОУ ""Лицей №23""";Кемерово;2;76;55.3909721;86.0467864
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 97""";Кемерово;1;76;55.3909721;86.0467864
МБОУ Гимназия №3;Иркутск;1;76;52.2863513;104.280655
МБОУ Средняя школа № 106 с углубленным изучением математики;Железногорск;1;76;52.3378753;35.3516834
МБОУ Средняя школа № 106 с углубленным изучением математики;Железногорск;1;76;56.2529346;93.532167
МБОУ Гимназия № 91 имени М.В. Ломоносова;Железногорск;1;76;52.3378753;35.3516834
МБОУ Гимназия № 91 имени М.В. Ломоносова;Железногорск;1;76;56.2529346;93.532167
МБОУ средняя общеобразовательная школа №4 г.Гусиноозерска имени Героя Социалистического труда Г.Д. Тучинова;Гусиноозерск;1;76;51.2865751;106.5230732
МАОУ Лицей № 173;Екатеринбург;1;76;56.8386326;60.6054887
Средняя общеобразовательная школа 49 г.Абаза;Абаза;1;76;52.6517296;90.0885929
Школа-лицей 35 г.Астана Р.Казахстан;Астана;1;76;51.1801;71.44598
"КГУ ""Средняя школа №3 города Курчатова""";Курчатов;1;76;51.6605475;35.6571711
Лицей 7 г.Минусинск;Минусинск;1;76;53.7105509;91.6871866
НХТК им Д. И. Менделеева;Новосибирск;6;76;55.0281016;82.9210575
"Муниципальное бюджетное общеобразовательное учреждение ""Лицей№ 34"" города Новокузнецка  Кемеровской области";Новокузнецк;1;76;53.7942757;87.2144046
Гимназия 2 г.Нерюнгри;Нерюнгри;1;76;56.6600322;124.72031
Муниципальное бюджетное общеобразовательное учереждение Новичихинская средняя общеобразовательная школа;Новичиха;1;76;52.204;81.3877
Муниципальная средняя (полная) общеобразовательная школа № 198 г.Северск;Северск;1;76;56.6031143;84.8809687
"Муниципальное общеобразовательное учреждение ""Северская гимназия"" ЗАТО Северск Томской области";Северск;1;75;56.6031143;84.8809687
МБОУ СОШ № 7;Сарапул;1;75;56.4616117;53.8036967
"МБОУ ""Лицей№104""";Новокузнецк;1;75;53.7942757;87.2144046
Новосибирский химико-технологический колледж им. Д.И. Менделеева;Новосибирск;13;75;55.0281016;82.9210575
Экономический лицей г.Новосибирска;Новосибирск;1;75;55.0281016;82.9210575
"МБОУ ""Средняя школа №134""";Красноярск;2;75;56.009466;92.8524162
"МОУ ""Лицей №1""";Ачинск;3;75;56.2538662;90.47949
"МБОУ Анжеро-Судженского городского округа ""Средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов имени Г. Панфилова""";Анжеро-Судженск;1;75;56.0787179;86.0202207
Средняя общеобразовательная школа №3 Барабинского района Новосибирской области;Барабинск;1;75;55.3515917;78.3465012
МБОУ Средняя общеобразовательная школа №1;Бийск;1;75;52.5393683;85.2138852
Республиканский классический лицей;Горно-Алтайск;1;75;51.9582681;85.9602957
Средняя общеобразовательная школа 11 г.Гурьевск;Гурьевск;2;75;54.2860005;85.947723
Средняя общеобразовательная школа 11 г.Гурьевск;Гурьевск;2;75;54.7705368;20.6039109
МБОУ Средняя общеобразовательная школа №24 г. Белово;Белово;1;75;54.4221442;86.3036438
МБОУ Средняя Общеобразовательная школа №14  ;Белово;1;75;54.4221442;86.3036438
"МБОУ ""Гимназия №71"" (""Радуга"")";Кемерово;1;75;55.3909721;86.0467864
Средняя общеобразовательная школа № 54 г. Кемерово;Кемерово;3;75;55.3909721;86.0467864
Средняя общеобразовательная школа № 48 имени М.Ю. Коломина;Кемерово;1;75;55.3909721;86.0467864
Муниципальное общеобразовательное учреждение гимназия № 6 г.Томск;Томск;2;75;56.4847036;84.9481737
Средняя общеобразовательная школа 2 г.Читы;Чита;1;75;52.0340128;113.4994884
Школа-гимназия 1 города Шопокова Сокулукского района Чуйской области;Шопоков;2;75;42.864466;74.343225
"КГУ ""Школа-лицей №15 имени Д.И. Менделеева""";Шымкент;2;75;42.3;69.6
Средняя общеобразовательная школа 10 г.Экибастуз Р.Казахстан;Экибастуз;1;75;51.72371;75.32287
"Россия г. Челябинск МАОУ ""Лицей №37""";Челябинск;1;75;55.1603659;61.4007858
"МБОУ ""Лицей имени А.Г. Баженова"" г. Черногорска Республики Хакасия";Черногорск;1;75;53.8258425;91.3259669
"МБОУ ""Лицей города Юрги"" ";Юрга;2;74;55.7202689;84.8885516
Муниципальное общеобразовательное учреждение Лицей № 7 г.Томск;Томск;1;74;56.4847036;84.9481737
Средняя общеобразовательная школа 160 г.Тайга;Тайга;1;74;56.0622767;85.6207907
МАОУ Сибирский лицей г. Томск;Томск;1;74;56.4847036;84.9481737
Трудармейская средняя общеобразовательная школа;Трудармейский;1;74;54.132;86.4098
МБОУ СОШ №99;Кемерово;1;74;55.3909721;86.0467864
МБОУ СОШ №40 имени Катасонова;Кемерово;1;74;55.3909721;86.0467864
МБОУ Киселевского городского округа Лицей №1 Кемеровской области;Киселевск;2;74;54.0060382;86.6367387
Ижморская средняя общеобразовательная школа №1;Ижморский;1;74;56.19239;86.64161
Муниципальное автономное общеобразовательное учреждение Центр образования №47 города Иркутска;Иркутск;1;74;52.2863513;104.280655
Средняя общеобразовательная школа 1 г.Березовский;Березовский;2;74;55.6692853;86.2744636
Средняя общеобразовательная школа 1 г.Березовский;Березовский;2;74;56.9096284;60.8180256
МБНОУ Гимназия №70;Новокузнецк;1;74;53.7942757;87.2144046
Новосибирский торгово-экономический колледж г.Новосибирск;Новосибирск;1;74;55.0281016;82.9210575
Специализированный учебно-научный центр НГУ;Новосибирск;3;74;55.0281016;82.9210575
"Автономная некоммерческая общеобразовательная организация ""Школа""Видергебурт""";Омская;1;74;60.87406719;79.62018871
МБОУ СОШ № 78 г. Северск;Северск;1;73;56.6031143;84.8809687
"МБОУ ""Лицей №124""";Барнаул;1;73;53.3481145;83.7798362
Муниципальная средняя (полная) общеобразовательная школа № 1 г.Асино;Асино;1;73;56.9908444;86.1765724
МБОУ средняя общеобразовательная школа №2 Карасукского  района Новосибирской области;Карасук;1;73;53.7343772;78.042457
МБОУ СШО №49 города Томска Томской области;Томск;2;73;56.4847036;84.9481737
Муниципальная средняя (полная) общеобразовательная школа № 35 г.Томск;Томск;1;73;56.4847036;84.9481737
средняя школа № 43;Шымкент;1;73;42.3;69.6
МАОУ Сибирский лицей г.Томска;Томск;1;72;56.4847036;84.9481737
Коммунальное государственное учреждение Школа-лицей города Аксу;Аксу;1;72;52.44422;71.95761
"МАОУ ""Ангарский лицей № 2 имени М. К. Янгеля""";Ангарск;1;72;52.5448102;103.8885385
"Муниципальное автономное общеобразовательное учреждение ""Лицей №7""";Бердск;1;72;54.7582375;83.1072212
Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа №7 города Бирска муниципального района Бирский район Республики Башкортостан;Бирск;1;72;55.4157107;55.5582335
Средняя общеобразовательная школа 5 г.Мыски;Мыски;1;72;53.7125516;87.8056657
МАОУ СШ №7;Красноярск;1;72;56.009466;92.8524162
Средняя общеобразовательная школа 3 г.Риддер Р.Казахстан;Риддер;1;71;51.07371953;83.94533081
"МБОУ ""СОШ п. Пеледуй"" МО ""Ленский район"" РСЯ";Пеледуй;1;71;59.62889;112.74056
Средняя общеобразовательная школа №17;Владивосток;1;71;43.1163807;131.882348
Хакасская национальная гимназия-интернат г.Абакана;Абакан;1;71;53.7223661;91.4437792
"МБОУ""СОШ№89""";Барнаул;1;71;53.3481145;83.7798362
"МАОУ ""СОШ №7"" города Колпашева Томской области";Колпашево;1;71;58.3114716;82.9027528
"КГУ ""Жаксынская средняя школа №2"" Жаксынского района Акмолинской области";Жаксы;1;71;51.93467288;67.30718296
Школа - лицей №23 имени Космодемьянской;Шымкент;1;71;42.3;69.6
МБОУ Многопрофильная гимназия №12 г. Читы Забайкальского края;Чита;1;71;52.0340128;113.4994884
Средняя многопрофильная школа 37 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1;70;49.97143;82.60586
Многопрофильная гимназия №41 им.А.С.Пушкина г.Тараз Р.Казахстан;Тараз;1;70;42.9;71.36667
Школа-гимназия 6 г.Степногорск Р.Казахстан;Степногорск;1;70;52.35062;71.88161
Средняя школа 4 г.Петропавловск Р.Казахстан;Петропавловск;2;70;54.86667;69.15
Средняя общеобразовательная школа 25 г.Салаир;Салаир;2;70;54.2351588;85.8029215
Сокульская школа-гимназия №1 имени Алымкула Жакшылыкова ;Сокулук;1;69;42.85401;74.30257
"МБОУ ""Гимназия №22"" НМР РТ";Нижнекамск;1;69;55.6311963;51.814407
Структурное подразделение НГУ Специализированный учебно-научный центр Университета;Новосибирск;1;69;55.0281016;82.9210575
МБОУ СОШ №10;Кемерово;2;69;55.3909721;86.0467864
"МБОУ ""Гимназия № 8""";Глазов;1;69;58.1359111;52.6634998
Гимназия №1 имени Тасирова Г.Х. города Белово;Белово;1;69;54.4221442;86.3036438
Лицей №7 города Бердска Новосибирской области;Бердск;1;69;54.7582375;83.1072212
МБОУ Академический лицей г. Томска имени Г.А. Псахье;Томск;2;69;56.4847036;84.9481737
Профессиональный колледж Штадтмитте города Мюльхайм ан дер Рур;Эссен;1;69;51.45657;7.01228
МАОУ СОШ №4 Им. И.С.Черных;Томск;1;68;56.4847036;84.9481737
Физико-математическая школа 56 г.Улан-Удэ;Улан-Удэ;1;68;51.8334378;107.5841511
МАОУ СОШ №160 Тайгинского городского округа Кемеровской области;Тайга;1;68;56.0622767;85.6207907
Средняя общеобразовательная школа № 4 им.И.С.Черных;Томск;1;68;56.4847036;84.9481737
"МБОУ ""СОШ №55"" г.Барнаула Алтайского края";Барнаул;1;68;53.3481145;83.7798362
Средняя общеобразовательная школа 12 г.Анжеро-Судженск;Анжеро-Судженск;1;68;56.0787179;86.0202207
