Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Общеобразовательная школа №25 ГУ Отдел образования города Сатпаев Карагандинской области;Сатпаев;1;95;48,10042716;67,64664506
Средняя общеобразовательная школа 15 г.Караганда Р.Казахстан;Караганда;2;95;49,83333;73,1658
Средняя школа 16 г.Алмалык Р.Узбекистан;Алмалык;1;95;40,84472;69,59833
МБОУ СОШ № 16;Белово;1;94;54,4221442;86,3036438
"Школа ""Химнасио Лас-Пальмас""";Богота;1;94;4,60971;-74,08175
СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 93;Пермь;1;94;58,0103211;56,2341778
"АНОО ""Школа ""Интеллект""";Омск;1;94;54,9848136;73,3674638
Средняя общеобразовательная школа 2 с угл. изучением иностранных языков г.Ноябрьска;Ноябрьск;1;94;63,201846;75,4509665
МОБУ гимназия №1 муниципального района Мелеузовский район РБ;Мелеуз;1;94;52,9590637;55,9283483
"КГУ ""Экономический лицей""";Семей;1;94;50,42675;80,26669
Средняя общеобразовательная школа 25 г.Семей Р.Казахстан;Семей;1;94;50,42675;80,26669
Средняя общеобразовательная школа 32 г.Семей Р.Казахстан;Семей;1;94;50,42675;80,26669
"КГУ ""Опорная школа (РЦ) Б.Момышулы поселка Топар Абайского района Карагандинской области ";Топар;1;94;49,54764056;72,86679274
КГУ Общеобразовательная школа №7 акимата г.Шахтинска;Шахтинск;2;93;49,707604;72,589723
Средняя школа 29 Пальмира г.Семей Р.Казахстан;Семей;1;93;50,42675;80,26669
Центр среднего образования высшей ступени;Мале;1;93;4,1748;73,50888
"КГУ ""Лицей-интернат ""Билим-инновация"" для одаренных юношей"" акимата города Нур-Султан";Нур-Султан;1;93;51,1801;71,44598
"Коммунальное государственное учреждение ""Средняя школа имени Н. Островского";Бородулиха;1;93;50,71841;80,9295
"Муниципальное бюджетное общеобразовательное учреждение города Абакана ""Гимназия""";Абакан;1;92;53,7223661;91,4437792
Профессионально-технический лицей железнодорожного траспорта;Душанбе;1;92;38,53575;68,77905
Образовательная средняя школа №4 г.Жезказгана;Жезказган;2;92;47,78333;67,76667
"БОУ г. Омска ""Лицей №64""";Омск;2;92;54,9848136;73,3674638
"МОАУ ""СОШ №71""";Оренбург;1;92;51,7875191;55,1017379
"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 202""";Новосибирск;1;92;55,0281016;82,9210575
КГКП Медицинский колледж города Жезказган;Сатпаев;1;92;48,10042716;67,64664506
МБОУ Гимназия №11 города Рубцовска Алтайского края;Рубцовск;1;92;51,5013075;81,2077729
Кривошеинская средняя общеобразовательная школа имени Героя Советского Союза Федора Матвеевича Зинченко села Кривошеина Томской области;Кривошеино;1;92;57,34306;83,92611
Средняя общеобразовательная школа 2 г.Семей Р.Казахстан;Семей;5;92;50,42675;80,26669
Средняя общеобразовательная школа 19 г.Семей Р.Казахстан;Семей;2;92;50,42675;80,26669
Колледж транспорта г.Семей;Семей;1;92;50,42675;80,26669
Гимназия № 6 города Семей;Семей;2;92;50,42675;80,26669
Средняя общеобразовательная школа 20 г.Сургут;Сургут;1;92;61,2539773;73,3961726
"МАОУ ""Сибирский лицей""";Томск;1;92;56,4847036;84,9481737
Гимназия #1 А.С. Пушкина ;Шымкент;1;92;42,3;69,6
Средняя общеобразовательная школа 70 г.Тюмени;Тюмень;1;92;57,1530824;65,5343118
Политехнический колледж г.Усть-Каменогорск;Усть-Каменогорск;1;91;49,97143;82,60586
Тверской машиностроительный колледж;Тверь;1;91;56,8585396;35,9117898
"Краевое государственное бюджетное образовательное учреждение начального профессионального образования ""Професиональное училище №53""";Сросты;1;91;51,92846629;81,07835297
"КГУ ""Специализированная мужская школа-лицей-интернат ""Жас Улан"" имени Ш. Уалиханова для одарённых детей";Семей;2;91;50,42675;80,26669
СОШ №7 им. О. Хойяма;Адрасмон;1;91;40,64928;69,98472
"МБОУ ""Боградская СОШ"" Боградского района Республики Хакасия";Боград;1;90;54,23444;90,83278
Лицей 101 г.Барнаула;Барнаул;1;90;53,3481145;83,7798362
Специализированный учебно-научный центр федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»;Екатеринбург;1;90;56,8386326;60,6054887
Муниципальная средняя (полная) общеобразовательная школа № 5 г.Колпашево;Колпашево;1;90;58,3114716;82,9027528
МОУ СОШ №7;Копейск;1;90;55,1167545;61,6180809
МБОУ СОШ №2;Коркино;1;90;54,8903023;61,4034541
"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №22"" Курганской области";Курган;1;90;55,4443448;65,3161339
МБОУ СШ 152;Красноярск;1;90;56,009466;92,8524162
"МБНОУ ""Гимназия №18"" г. Ленинска-Кузнецкого Кемеровской области";Ленинск-Кузнецкий;1;90;54,6674092;86,1796724
Гимназия 5 г.Мегион;Мегион;1;90;61,0318946;76,1024772
Лицей 46 г.Новокузнецка;Новокузнецк;1;90;53,7942757;87,2144046
Общеобразовательная школа № 9;Сатпаев;2;90;48,10042716;67,64664506
"МБОУ ""СОШ №13""";Сатка;1;90;55,0404497;59,0288153
Средняя школа № 1;Серебрянск;1;90;49,72633518;83,41055776
Средняя общеобразовательная школа 1 им.Н.Г.Чернышевского г.Семей Р.Казахстан;Семей;5;90;50,42675;80,26669
средняя школа-гимназия №14 г. Талдыкорган;Талдыкорган;1;90;45,01556;78,37389
"КГУ ""Средняя школа №24"" акимата города Усть-Каменогорска";Усть-Каменогорск;1;90;49,97143;82,60586
КГУ Шульбинская средняя общеобразовательная школа;Шульбинск;1;90;50,388358;81,066576
"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №19 с углубленным изучением отдельных предметов"" г. Черногорска Республики Хакасия";Черногорск;1;90;53,8258425;91,3259669
