Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Средняя общеобразовательная школа № 25 г.Томск;Томск;1;68;56.4847036;84.9481737
МАОУ СОШ №2 г.Томска;Томск;1;68;56.4847036;84.9481737
Муниципальная средняя (полная) общеобразовательная школа № 28 г.Томск;Томск;1;68;56.4847036;84.9481737
Средняя общеобразовательная школа № 8 г.Юрги Кемеровской области;Юрга;1;68;55.7202689;84.8885516
"КГУ ""Областная специализированная школа-лицей для детей. одаренных в области математики. физики. информатики""";Усть-Каменогорск;1;67;49.97143;82.60586
МАОУ Сибирский лицей г. Томск;Томск;1;67;56.4847036;84.9481737
Муниципальное общеобразовательное учреждение гимназия № 2 г.Томск;Томск;1;67;56.4847036;84.9481737
Русская Классическая Гимназия №2;Томск;2;67;56.4847036;84.9481737
Средняя общеобразовательная школа 12 г.Сургут;Сургут;1;67;61.2539773;73.3961726
Бакчарская средняя общеобразовательная школа;Бакчар;1;67;57.01861;82.07111
муниципальное казенное общеобразовательное учреждение Краснозерского района Новосибирской области Краснозерская средняя общеобразовательная школа №2 имени Ф.И. Анисичкина;Краснозерское;1;67;53.98277;79.23735
МБОУ СОШ №40 имени Катасонова;Кемерово;1;67;55.3909721;86.0467864
Анастасьевская муниципальная средняя (полная) общеобразовательная школа;Анастасьевка;1;66;56.79339218;83.59888448
"ГУ ""Средняя общеобразовательная школа №13 города Павлодара""";Павлодар;1;66;52.28333;76.96667
Лицей № 11;Новокузнецк;1;66;53.7942757;87.2144046
МАОУ Лицей №8;Назарово;1;66;56.0113176;90.4167947
Средняя общеобразовательная школа 43 г.Павлодар Р.Казахстан;Павлодар;1;66;52.28333;76.96667
Гимназия № 13 г.Томска;Томск;2;66;56.4847036;84.9481737
Муниципальная средняя (полная) общеобразовательная школа № 40 г.Томск;Томск;2;65;56.4847036;84.9481737
"МБОУ ""Гимназия"" г.Черногорска РХ";Черногорск;1;65;53.8258425;91.3259669
Средняя общеобразовательная школа № 49 г.Томска;Томск;1;65;56.4847036;84.9481737
"Окино-Ключевская средняя школа администрации муниципального образования ""Бичурский район"" р. Бурятия";Окино-Ключи;1;64;50.59389;107.10944
"КГУ ""Школа-гимназия №4 имени Л.Н.Толстого""";Степногорск;1;64;52.35062;71.88161
Багдаринская эвенкийская школа- интернат ;Багдарин;1;64;54.43333;113.6
"МБОУ ""СОШ № 128"" г. Барнаул. Алтайский край";Барнаул;1;63;53.3481145;83.7798362
средняя общеобразовательная школа № 6;Южно-Сахалинск;1;63;46.959133;142.7381252
Цаган-Челутайская средняя общеобразовательная школа;Цаган-Челутай;1;62;51.070627;115.085731
МАОУ средняя общеобразовательная школа № 2 г.Томск;Томск;1;62;56.4847036;84.9481737
"КГУ ""ОСШ 4""";Жезказганская;1;62;46.85902721;74.9560988
"Государственное учреждение ""Средняя общеобразовательная школа №5 города Павлодара""";Павлодар;1;62;52.28333;76.96667
"МКОУ ""Поротниковская средняя общеобразовательная школа""";Поротниково;1;61;57.01320312;82.34626194
Муниципальная средняя (полная) общеобразовательная школа № 47 г.Томск;Томск;1;61;56.4847036;84.9481737
"МАОУ ""Гимназия №87""";Саратов;1;60;51.530376;45.9530257
Павлодарский машиностроительный колледж Р.Казахстан;Павлодар;1;60;52.28333;76.96667
Гимназия 9 имени Героя Российской Федерации Немыткина М.Ю. г. Новосибирска;Новосибирск;1;60;55.0281016;82.9210575
Средняя общеобразовательная школа 9 г.Лесосибирск;Лесосибирск;1;58;58.2218201;92.5036986
"Коммунальное государственное учреждение ""Средняя школа №18"" акимата города Нур-Султан";Нур-Султан;1;56;51.1801;71.44598
Средняя общеобразовательная школа № 88 имени А.Бородина и А.Кочева;Северск;1;56;56.6031143;84.8809687
"МАОУ ""Петропавловская средняя общеобразовательная школа №1""";Улан-Удэ;1;56;51.8334378;107.5841511
