Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
МБОУ СОШ №44 с углубленным изучением отдельных предметов;Полысаево;1;76;54.6053968;86.2808803
Санкт-Петербургский государственный университет гражданской авиации;Санкт-Петербург;1;76;59.93863;30.31413
Средняя общеобразовательная школа 27 г.Сургута;Сургут;1;76;61.2539773;73.3961726
Гимназия № 77 г.Северск;Северск;1;76;56.6031143;84.8809687
МБОУ СОШ №32 ;Нижний Тагил;1;76;57.9101038;59.9813242
"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 170""";Нижний Новгород;1;76;56.3242093;44.0053948
Средняя общеобразовательная школа №93. г. Новокузнецка ;Новокузнецк;1;76;53.7942757;87.2144046
"Муниципальное бюджетное общеобразовательное учреждение "" Средняя общеобразовательная школа № 47""";Новокузнецк;2;76;53.7942757;87.2144046
"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 61 имени Ильгизара Александровича Касакина"" ";Новокузнецк;3;76;53.7942757;87.2144046
"МБОУ ""Намская улусная гимназия им. Н. С. Охлопкова""";Намцы;1;76;62.71959;129.66722
Муниципальное бюджетное образовательное учреждение Средняя общеобразовательная школа №42;Нижневартовск;1;76;60.9397379;76.5696206
"МОУ ""Средняя общеобразовательная школа №1 с углубленным изучением отдельных предметов "" города Надым";Надым;1;76;65.5377514;72.5182746
Средняя общеобразовательная школа №7 города Назарово Красноярского края ;Назарово;1;76;56.0113176;90.4167947
Газпром школа;Москва;1;76;55.75222;37.61556
Средняя общеобразовательная школа № 1;Ленинск-Кузнецкий;3;76;54.6674092;86.1796724
Лицей;Лесной;1;76;58.634981;59.7980528
Лучановская муниципальная средняя общеобразовательная школа имени В.В. Михетко;Лучаново;1;76;56.36540999;85.06834065
"КГУ ""Средняя общеобразовательная школа №2  города Курчатов""";Курчатов;2;76;51.6605475;35.6571711
МБОУ Курьинская средняя общеобразовательная школа имени М.Т.Калашникова;Курья;2;76;51.61421798;82.29682666
Средняя общеобразовательная школа 19 с углубленным изучением экономики г.Междуреченск;Междуреченск;1;76;53.6865695;88.0703888
Лицей 20 г.Междуреченск;Междуреченск;26;76;53.6865695;88.0703888
"МКОУ ""Мамонтовская средняя общеобразовательная школа"" с. Мамонтово Алтайский край";Мамонтово;3;76;52.7055;81.6244
МАОУ Маслянская СОШ;Маслянский;1;76;55.97636524;70.14385371
МБОУ СОШ №3 с углубленным изучением отдельных предметов г. Мегион Ханты-Мансийского автономного округа - Югры;Мегион;1;76;61.0318946;76.1024772
Гимназия 5 г.Мегион;Мегион;1;76;61.0318946;76.1024772
"МАОУ ""Гимназия №1"" города Минусинска Красноярского края";Минусинск;1;76;53.7105509;91.6871866
Средняя общеобразовательная школа 7 г. Миасс;Миасс;1;76;55.0455774;60.1077757
Лицей №62 г. Кемерово;Кемерово;6;76;55.3909721;86.0467864
Лицей №23 г. Кемерово;Кемерово;1;76;55.3909721;86.0467864
"МБОУ ""Лицей №23"" ";Кемерово;9;76;55.3909721;86.0467864
"МБОУ ""Гимназия №21""";Кемерово;4;76;55.3909721;86.0467864
"МБОУ ""Гимназия №1"" г. Кемерово";Кемерово;9;76;55.3909721;86.0467864
Гимназия 41 г.Кемерово;Кемерово;1;76;55.3909721;86.0467864
МБОУ СОШ №44 имени Вознесенского г. Кемерово;Кемерово;1;76;55.3909721;86.0467864
"МОУ ""Гимназия №1""";Кемерово;1;76;55.3909721;86.0467864
"МБОУ ""Средняя Общеобразовательная Школа №19""";Кемерово;1;76;55.3909721;86.0467864
Средняя общеобразовательная школа № 48 имени М.Ю. Коломина;Кемерово;1;76;55.3909721;86.0467864
Средняя общеобразовательная школа 35 имени Леонида Иосифовича Соловьёва г. Кемерово;Кемерово;1;76;55.3909721;86.0467864
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 97""";Кемерово;1;76;55.3909721;86.0467864
Средняя общеобразовательная школа 27 г.Касли Челябинская обл.;Касли;1;76;55.8868045;60.7422529
МАОУ Лицей№1;Канск;6;76;56.2049776;95.7051246
"МАОУ ""Средняя школа №143"" имени Тимошенко А.В."" г. Красноярска";Красноярск;1;76;56.009466;92.8524162
Средняя общеобразовательная школа 3 г.Куйбышева Новосибирской области;Куйбышев;1;76;55.4684104;78.3241042
Средняя общеобразовательная школа 10 г.Красноярска;Красноярск;1;76;56.009466;92.8524162
Средняя общеобразовательная школа 150 г.Красноярска;Красноярск;2;76;56.009466;92.8524162
МАОУ «Гимназия № 9»;Красноярск;3;76;56.009466;92.8524162
Кожевниковская муниципальная средняя (полная) общеобразовательная школа № 1;Кожевниково;1;76;56.25889;83.97139
Муниципальное казенное общеобразовательное учреждение Новосибирского района Новосибирской области Краснообская средняя общеобразовательная школа №2;Краснообск;1;76;54.9198;82.9909
МБОУ СОШ №78;Краснодар;1;76;45.040235;38.9760801
МКОУ Краснозерского района Новосибирской области Краснозерская средняя общеобразовательная школа №1;Краснозерское;1;76;53.98277;79.23735
Средняя общеобразовательная школа 2 г. Колпашево;Колпашево;1;76;58.3114716;82.9027528
Железногорская средняя общеобразовательная школа 4 г.Железногорска-Илимского;Железногорск-Илимский;1;76;56.5847382;104.1141747
