Средний_балл;Учебное_заведение;Город;Число_поступающих
89;Средняя общеобразовательная школа им.Корниенко  п.Топар Карагандинская обл. Р.Казахстан;Топар;1
89;"ГОУ СПО ""Черногорский механико-технологический техникум""";Черногорск;1
89;гимназия для одарённых детей;Душанбе;1
89;Среднее общеобразовательное учреждение № 72 г.Душанбе;Душанбе;1
89;Общеобразовательная средняя школа 4 г.Жезказгана Р.Казахстан;Жезказган;5
89;"Коммунальное государственное учреждение ""Средняя школа №7 города Аксу";Аксу;1
89;"ГОУСПО "" Артемовский колледж точного приборостроения"" г. Артемовский";Артемовский;1
88;"КГУ  ""Средняя общеобразовательная школа № 9""";Восточно-Казахстанская;1
88;уральский техникум Рифей;Екатеринбург;1
88;КГБО УНПО Профессиональное училище №22;Игарка;1
88;МАОУ Средняя общеобразовательная школа № 16 г. Карпинска;Карпинск;1
88;МБОУ СОШ № 97 Г. КЕМЕРОВО ;Кемерово;1
88;ГБОУ СОШ №58;Севастополь;1
88;МБОУ СОШ 92;Новосибирск;1
88;"КГУ ""Средняя школа №3 города Курчатова""";Курчатов;1
88;"МАОУ ""Средняя школа №145"" города Красноярска Красноярского края ";Красноярск;1
88;Академия труда и социальных отношений;Москва;1
88;Средняя общеобразовательная школа 13 г.Нижневартовск ХМАО;Нижневартовск;1
88;Забайкальский краевой лицей-интернат;Чита;2
88;ФГОУ СПО Юргинский техникум машиностроения и информационных технологий;Юрга;1
88;ГБОУ СПО Юргинский технологический колледж;Юрга;1
88;МАОУ СОШ № 60;Тюмень;1
88;Областная специализированная школа-интернат №4 для одаренных детей Болашак г.Степногорск;Степногорск;3
88;общеобразовательная средняя школа-лицей №4 с ДМЦ;Талгар;1
88;Средняя школа с.Табуны;Табуны;1
87;Сахалинский государственный университет;Южно-Сахалинск;1
87;"АОО ""Назарбаев Интеллектуальная школа""";Нур-Султан;1
87;гимназия №69 им. Чередова И.М.;Омск;2
87;Средняя общеобразовательная школа-гимназия №9;Павлодар;1
87;Канонерская средняя школа Бескарагайского р-на Восточно-Казахстанской области;Канонерка;3
87;Школа-лицей им. Х. Жээнбаева ;Бостери;1
86;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан;Абай;1
86;"КГУ ""Лицей №134"" Управления образования города Алматы";Алматы;1
86;средняя школа имени Н. Алдабергенова;Карабулак;1
86;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №19;Ишимбай;1
86;Среднее общеобразовательное учреждение № 81 района Сино г.Душанбе;Душанбе;1
86;Общеобразовательная средняя школа 22 г.Жезказган Р.Казахстан;Жезказган;7
86;Средняя общеобразовательная школа 143 г.Красноярска;Красноярск;1
86;Сибирский федеральный университет;Красноярск;1
86;Павлодарский машиностроительный колледж Р.Казахстан;Павлодар;1
