Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Ноябрьск;63.201846;75.4509665;1;79
Нур-Султан;51.1801;71.44598;2;66
Октябрьский;54.4815344;53.4656611;2;82
Октябрьское;45.28866;34.13521;2;77
Омск;54.9848136;73.3674638;12;80
Омская;60.87406719;79.62018871;1;59
Оренбург;51.7875191;55.1017379;1;84
Орск;51.2293069;58.4751889;2;78
Осинники;53.5987397;87.3369948;6;80
Павлодар;52.28333;76.96667;3;70
Парбиг;57.26982976;81.40826611;1;81
Первомайский;53.2485;40.2871;1;83
Пермь;58.0103211;56.2341778;4;80
Петропавловск;54.86667;69.15;1;70
Пластуновская;45.29432;39.26505;1;62
Подгорный;56.13946337;56.13946337;1;77
Полысаево;54.6053968;86.2808803;1;88
Прокопьевск;53.8604562;86.7183428;14;85
Промышленная;54.9159;85.6385;2;70
Пятигорск;44.0411669;43.0661091;1;84
Риддер;51.07371953;83.94533081;2;66
Родино;52.49783;80.20294;1;91
Ростов-на-Дону;47.2224364;39.7187866;1;75
Рубцовск;51.5013075;81.2077729;6;75
Самусь;56.74482;84.70422;1;83
Санкт-Петербург;59.93863;30.31413;1;79
Сарапул;56.4616117;53.8036967;1;70
Саратов;51.530376;45.9530257;1;75
Саяногорск;53.1008226;91.4121643;3;77
Свободный;51.361264;128.1218995;1;62
Северск;56.6031143;84.8809687;25;73
Селиваниха;53.73294616;91.68359493;1;68
Семей;50.42675;80.26669;1;85
Сетовка;52.24007097;85.54086103;1;81
Сиань;34.25833;108.92861;3;64
Советское;52.28556;85.41424;2;87
Сокол;59.4759156;40.1114414;1;81
Соль-Илецк;51.1634976;54.9895391;1;84
Сорск;54.0001451;90.2595674;2;68
Сосновоборск;56.1202088;93.3353411;2;84
Старопестерево;54.5001;86.4094;1;84
Степногорск;52.35062;71.88161;1;89
Стерлитамак;53.6302498;55.9315707;1;70
Стрежевой;60.7328199;77.6040323;4;73
Сургут;61.2539773;73.3961726;9;72
Сущево;57.94167857;40.95355164;1;72
Сыктывкар;61.668789;50.8356491;2;71
Талнах;69.4865;88.3972;1;81
Тамбовка;50.09968;128.05724;1;72
Тараз;42.9;71.36667;1;78
Тарко-Сале;64.9117649;77.7610204;1;68
Ташкент;41.26465;69.21627;1;58
Таштагол;52.7594505;87.8477272;1;62
Тегульдет;57.30679;88.16004;1;83
Тисуль;55.76173;88.31228;2;76
Тобольск;58.2016828;68.2538392;1;91
Тогур;58.3631;82.8265;1;55
Тольятти;53.5206438;49.389461;1;88
Томск;56.4847036;84.9481737;200;76
Топки;55.2766036;85.6153223;1;66
Тюмень;57.1530824;65.5343118;6;78
Тяжинский;56.11607;88.52279;1;77
Улан-Удэ;51.8334378;107.5841511;33;78
Усолье-Сибирское;52.7567192;103.6387694;1;88
Уссурийск;43.79726;131.9517262;1;72
Усть-Илимск;57.9431325;102.7414683;2;73
Усть-Каменогорск;49.97143;82.60586;7;71
Усть-Серта;56.02653228;88.04354652;1;77
Уфа;54.734853;55.9578647;2;86
Ухта;63.5564779;53.7014202;1;61
Хабаровск;48.4647991;135.0598811;4;78
Хакасия;53.386357;89.897078;1;81
Ханты-Мансийск;61.0024344;69.0183322;7;82
Харовск;59.9477728;40.2000794;1;64
Хотьково;56.2515725;37.9395225;1;77
Челябинск;55.1603659;61.4007858;3;81
Черногорск;53.8258425;91.3259669;5;73
Чистогорский;53.9835;87.3843;2;77
Чита;52.0340128;113.4994884;17;81
Шарыпово;55.5389684;89.1801557;2;78
Шымкент;42.3;69.6;1;99
Южно-Сахалинск;46.959133;142.7381252;2;73
Юрга;55.7202689;84.8885516;21;65
Якутск;62.0280273;129.7325717;10;76
Яровое;52.9251728;78.5729898;1;70
Ярославский;44.18578;132.22862;1;77
