Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Халонг;20,95045;107,07336;1;91
Худжанск;40,283611;69,623962;1;53
Чапаевск;52,9289662;49,8674222;1;76
Челябинск;55,1603659;61,4007858;2;70
Черногорск;53,8258425;91,3259669;2;69
Чернушка;56,5161079;56,0763919;1;76
Чита;52,0340128;113,4994884;2;73
Шарыпово;55,5389684;89,1801557;1;100
Шахтинск;49,707604;72,589723;1;80
Шелехов;52,2102462;104,0973531;1;67
Шерегеш;52,9209;87,9869;1;65
Шиели;44,16882;66,73887;1;60
Шипуново;52,1582;82,2173;1;57
Шопоков;42,864466;74,343225;2;75
Шымкент;42,3;69,6;9;80
Экибастуз;51,72371;75,32287;3;65
Эссен;51,45657;7,01228;1;69
Юрга;55,7202689;84,8885516;4;71
Якутск;62,0280273;129,7325717;1;63
