Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Искитим;54,6266869;83,2951444;1;72
Ишимбай;53,4546314;56,043874;1;85
Йошкар-Ола;56,6343763;47,8998445;1;56
Казань;55,7943877;49,1115312;4;80
Калтан;53,5210461;87,2772143;4;81
Каменск-Уральский;56,4149095;61,9189837;9;71
Каменск-Шахтинский;48,3204412;40,268874;1;67
Камень-на-Оби;53,7915454;81,3545173;6;76
Канск;56,2049776;95,7051246;9;81
Карабулак;43,3054762;44,9094521;3;78
Карасук;53,7343772;78,042457;10;77
Карпинск;59,7664444;60,0011798;1;76
Касли;55,8868045;60,7422529;1;71
Качканар;58,7051759;59,4840198;1;78
Кедровый;57,5618465;79,5678914;4;76
Кемерово;55,3909721;86,0467864;231;78
Кингисепп;59,3739407;28,6112981;1;69
Киров;54,0790823;34,3077508;1;85
Киров;58,6035313;49,6679219;1;85
Кирово-Чепецк;58,5559921;50,0317608;1;98
Киселевск;54,0060382;86,6367387;22;78
Кодинск;58,6033961;99,1797563;1;78
Коломна;55,1027797;38,7531734;1;67
Колпашево;58,3114716;82,9027528;21;80
Комсомольск-на-Амуре;50,550011;137,0079286;7;84
Копейск;55,1167545;61,6180809;2;89
Коркино;54,8903023;61,4034541;1;71
Корсаков;46,6323995;142,7994094;1;78
Краснодар;45,040235;38,9760801;3;79
Краснокаменск;50,092858;118,0323407;4;79
Красноярск;56,009466;92,8524162;76;78
Крымск;44,9344108;37,9855314;1;85
Куйбышев;55,4684104;78,3241042;21;79
Кумертау;52,7565537;55,7969915;2;75
Купино;54,3660317;77,2972969;1;87
Курган;55,4443448;65,3161339;15;79
Курск;51,7303391;36,1926448;2;72
Курчатов;51,6605475;35,6571711;18;91
Кызыл;51,7191542;94,4377234;15;74
Кяхта;50,3466291;106,4534938;3;88
Лангепас;61,2536667;75,1807905;5;74
Ленинск-Кузнецкий;54,6674092;86,1796724;33;80
Лесной;58,634981;59,7980528;2;76
Лесосибирск;58,2218201;92,5036986;5;79
Лиски;50,9944734;39,518302;1;65
Лысьва;58,0995987;57,8085728;1;94
Лянтор;61,6391639;72,1793828;1;76
Магнитогорск;53,4071891;58,9791432;6;79
Мариинск;56,2127836;87,7454392;13;75
Мегион;61,0318946;76,1024772;5;78
