Средний_балл;Учебное_заведение;Город;Число_поступающих
84;Муниципальное казённое общеобразовательное учреждение Топчихинская средняя общеобразовательная школа №1 имени Героя России Дмитрия Ерофеева;Топчиха;1
84;Тюменский государственный университет;Тюмень;1
84;Онгудайская средняя образовательная школа имени С.Т.Пекпеева;Онгудай;1
84;МБОУ СОШ №6;Новый;1
84;"Муниципальное бюджетное общеобразовательное учреждение ""Естественно-математический лицей №20"" ";Псков;1
84;Средняя общеобразовательная школа 15 г.Славгород;Славгород;2
84;"Муниципальное общеобразовательное бюджетное учреждение ""Лицей Соль-Илецкого городского округа"" Оренбургской области";Соль-Илецк;1
84;Средняя общеобразовательная школа 5 г.Нефтеюганск;Нефтеюганск;1
84;"МБОУ ""Новоивановская СОШ""";Новоивановский 1-й;1
84;"МОБУ ""Лицей №7""";Минусинск;1
84;"Муниципальное казенное общеобразовательное учреждение ""Средняя школа № 5 городского округа город Михайловка Волгоградской области""";Михайловка;1
84;"МОУ ""Лицей"" г.Лесосибирска Красноярского края";Лесосибирск;1
84;"МБНОУ ""Гимназия №18"" г. Ленинска-Кузнецкого Кемеровской области";Ленинск-Кузнецкий;1
84;"муниципальное бюджетное общеобразовательное учреждение города Кургана ""Средняя общеобразовательная школа №22"" Курганской области";Курган;1
84;"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №22"" Курганской области";Курган;1
84;МОУ СОШ №7;Копейск;1
84;Муниципальная средняя (полная) общеобразовательная школа № 7 г.Колпашево;Колпашево;1
84;Средняя общеобразовательная школа 40 имени Вячеслава Токарева города Бийска Алтайского края;Бийск;2
84;Средняя общеобразовательная школа №26 с углублённым изучением отдельных предметов г. Абакан;Абакан;1
84;"Муниципальное бюджетное общеобразовательное учреждение ""Физико-математический лицей""";Глазов;2
84;"МБОУ ""Боградская СОШ"" Боградского района Республики Хакасия";Боград;1
84;"МБОУ ""Гимназия №1 Брянского района""";Брянск;1
83;Средняя общеобразовательная школа 86 г.Караганды Р.Казахстан;Караганда;1
83;МБОУ СОШ № 14 г.Новокузнецка;Новокузнецк;2
83;"КГУ ""Школа-лицей №1""";Риддер;4
83;МБОУ Лицей №126;Новосибирск;4
83;"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №146 с углубленным изучением математики, физики, информатики"" г.Перми Пермского края";Пермь;3
83;"Муниципальное автономное общеобразовательное учреждение ""Лингвистическая гимназия №3 г. Улан-Удэ""";Улан-Удэ;2
83;Сахалинский топливно-энергетический техникум;Южно-Сахалинск;1
82;Якутский городской лицей г.Якутск;Якутск;1
82;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №13 (с этнокультурным компонентом образования)""";Чита;1
82;МБОУ лицей №3;Учалы;1
82;"Средняя школа ""Маохуа""";Фудин;1
82;"МБОУ ""Лицей №1""";Усолье-Сибирское;1
82;МАОУ СОШ №2;Чернушка;1
82;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №19 с углубленным изучением отдельных предметов"" г. Черногорска Республики Хакасия";Черногорск;1
82;МАОУ СОШ № 42 г.Улан-Удэ;Улан-Удэ;1
82;МАОУ лицей №81;Тюмень;1
82;"Общеобразовательный лицей Федерального государственного бюджетного образовательного учреждения высшего образования ""Тюменский индустриальный университет""";Тюмень;2
82;МАОУ гимназия с углубленным изучением иностранных языков №21 города Тюмени;Тюмень;2
82;Средняя общеобразовательная школа 43 г.Улан-Удэ;Улан-Удэ;1
82;МАОУ гимназия № 55 г.Томска;Томск;1
82;Муниципальное автономное общеобразовательное учреждение лицей №1 имени А.С.Пушкина г.Томска;Томск;1
82;"муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Гимназия №9"" Самарской области";Тольятти;1
82;"МАОУ ""СОШ №9 с углубленным изучением отдельных предметов""";Тобольск;2
82;Тисульская средняя общеобразовательная школа № 1 Тисульского р-на Кемеровской области;Тисуль;3
