Средний_балл;Учебное_заведение;Город;Число_поступающих
64;"Окино-Ключевская средняя школа администрации муниципального образования ""Бичурский район"" р. Бурятия";Окино-Ключи;1
64;"КГУ ""Школа-гимназия №4 имени Л.Н.Толстого""";Степногорск;1
64;Багдаринская эвенкийская школа- интернат ;Багдарин;1
63;"МБОУ ""СОШ № 128"" г. Барнаул, Алтайский край";Барнаул;1
63;средняя общеобразовательная школа № 6;Южно-Сахалинск;1
62;Цаган-Челутайская средняя общеобразовательная школа;Цаган-Челутай;1
62;МАОУ средняя общеобразовательная школа № 2 г.Томск;Томск;1
62;"КГУ ""ОСШ 4""";Жезказганская;1
62;"Государственное учреждение ""Средняя общеобразовательная школа №5 города Павлодара""";Павлодар;1
61;"МКОУ ""Поротниковская средняя общеобразовательная школа""";Поротниково;1
61;Муниципальная средняя (полная) общеобразовательная школа № 47 г.Томск;Томск;1
60;"МАОУ ""Гимназия №87""";Саратов;1
60;Павлодарский машиностроительный колледж Р.Казахстан;Павлодар;1
60;Гимназия 9 имени Героя Российской Федерации Немыткина М.Ю. г. Новосибирска;Новосибирск;1
58;Средняя общеобразовательная школа 9 г.Лесосибирск;Лесосибирск;1
56;"Коммунальное государственное учреждение ""Средняя школа №18"" акимата города Нур-Султан";Нур-Султан;1
56;Средняя общеобразовательная школа № 88 имени А.Бородина и А.Кочева;Северск;1
56;"МАОУ ""Петропавловская средняя общеобразовательная школа №1""";Улан-Удэ;1
