Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абага;61,0638807;132,2710533;1;68
Абаза;52,6517296;90,0885929;4;68
Абай;49,63575;72,86164;4;56
Абакан;53,7223661;91,4437792;56;70
Абинск;44,8679931;38,1618437;1;78
Абу Кебир;55,75;37,616667;1;48
Агаповка;53,2973;59,1348;1;72
Ага-Хангил;51,20186737;114,7413335;1;56
Агинское;51,1;114,53;3;70
Адрасмон;40,64928;69,98472;1;59
Акколь;53,29617;69,59997;2;53
Акмол;51,09978826;70,98125405;1;50
Аксу;52,44422;71,95761;7;62
Аксукент;42,420712;69,828652;3;53
Акташ;55,0384;52,1214;1;56
Алапаевск;57,8475542;61,6693934;1;74
Аларь;53,08921624;102,5291725;1;72
Алдан;58,6094885;125,3816689;4;74
Александровск;59,1613773;57,5764851;1;56
Алексеевка;50,6299932;38,6881776;2;73
Алмалык;40,84472;69,59833;8;51
Алматы;43,25667;76,92861;18;61
Алтай;48,30272;89,51557;4;59
Алтыарык;40,391494;71,475201;1;53
Амга;60,90009;131,97882;1;74
Амитхаша;51,11024343;114,4759492;1;50
Анадырь;64,7314347;177,5015752;1;76
Анапа;44,8950777;37,3163142;1;72
Анапская;44,89671;37,386;1;76
Анастасьевка;56,79339218;83,59888448;1;50
Ангарск;52,5448102;103,8885385;30;69
Андижан;40,78206;72,34424;2;48
Анжеро-Судженск;56,0787179;86,0202207;75;65
Аньшунь;26,25;105,93333;1;54
Апатиты;67,5678295;33,4067218;1;50
Апшеронск;44,4585239;39,7300092;1;82
Аргада;54,26034759;110,6928844;1;68
Ариничево;54,57528187;85,40835995;1;72
Артемовский;57,3384162;61,8946599;1;64
Архангельск;64,5392985;40,5170083;1;88
Асбест;57,0052428;61,4581071;1;70
Асино;56,9908444;86,1765724;16;68
Аскиз;53,13194;90,52639;5;67
Астана;51,1801;71,44598;2;51
Астрахань;46,3655808;48,0559979;2;63
Атбасар;51,80652;68,35996;1;53
Ахангаран;40,91044;69,64368;1;53
Ахуново;54,2079;59,6017;1;70
Ачинск;56,2538662;90,47949;23;68
Ашхабад;37,95;58,38333;1;94
Багдад;33,34058;44,40088;3;60
Бакчар;57,01861;82,07111;7;63
Балаково;52,0222694;47,7828146;1;74
Балашиха;55,7963352;37,9381413;1;70
Балпык;44,9561404;78,24042651;1;52
Балхаш;46,84806;74,995;2;63
Барабинск;55,3515917;78,3465012;5;71
Баргузин;53,61875;109,63904;1;72
Барнаул;53,3481145;83,7798362;73;71
Басандайка;56,30219272;85,49762695;1;68
Басра;30,50852;47,7804;1;55
Бастобе;45,29377175;77,97679067;1;56
Батурино;57,79069112;85,20988403;2;66
Бачатский;54,2927;86,1285;1;68
Белая Холуница;58,8415212;50,8461002;1;56
Белебей;54,1033832;54,1111878;1;76
Белово;54,4221442;86,3036438;53;66
Белогорск;45,0571581;34,5998775;2;73
Белогорск;50,9212235;128,4738742;2;73
Белокуриха;51,9960534;84,9840343;7;67
Белорецк;53,9675927;58,4099562;1;76
Белый Яр;53,60389;91,39028;4;69
Бельтирское;53,06584475;90,37790691;1;68
Бердск;54,7582375;83,1072212;12;70
Березовский;55,6692853;86,2744636;23;74
Березовский;56,9096284;60,8180256;23;74
Бийск;52,5393683;85,2138852;32;75
Билибино;68,0585533;166,4388451;1;76
Билитуй;49,85495873;117,14599;1;62
Билютуй;49,60607827;111,7020814;1;50
Биробиджан;48,7945975;132,9217594;4;74
Бирск;55,4157107;55,5582335;1;68
Бишкек;42,87;74,59;9;54
Благовещенка;52,83333;79,86667;2;69
Благовещенск;50,2905935;127,5272186;2;59
Благовещенск;55,0499592;55,955309;2;59
Богандинский;56,89375;65,89378;1;82
Богашево;56,36798;85,14414;2;67
Богота;4,60971;-74,08175;1;81
Боготол;56,209881;89,5300182;2;53
Боград;54,23444;90,83278;1;84
Болотное;55,6693773;84,3906599;1;52
Большая Мурта;56,94859989;93,14166455;1;68
Большие Леуши;62,2002969;67,17225183;1;74
Большой Камень;43,1112737;132,3480354;1;76
Борисоглебск;51,3654619;42,100947;1;68
