Средний_балл;Учебное_заведение;Город;Число_поступающих
88;"МБОУ ""Гимназия №21""";Кемерово;1
88;Средняя общеобразовательная школа 143 г.Красноярска;Красноярск;1
88;"муниципальное бюджетное общеобразовательное учреждение ""Средняя школа № 64""";Красноярск;2
88;МБОУ Лицей №8;Красноярск;1
88;Губернаторский многопрофильный лицей-интернат г.Кемерово;Кемерово;1
88;МБОУ Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 8 м.о. Ленинск-Кузнецкого городского округа Кемеровской области;Ленинск-Кузнецкий;1
88;"МАОУ ""СОШ №7""";Курган;1
88;МАОУ «Гимназия № 9»;Красноярск;1
88;Средняя общеобразовательная школа 49 г.Абаза;Абаза;1
88;Средняя общеобразовательная школа 22 г.Анжеро-Судженск;Анжеро-Судженск;1
88;Лицей №22 г.Белово;Белово;1
88;Средняя общеобразовательная школа №126 г. Барнаул;Барнаул;1
88;МБОУ «СОШ № 72» ;Ижевск;1
88;МАОУ СОШ 2;Златоуст;1
88;МБОУ СОШ №39;Брянск;1
88;"МАОУ ""Средняя общеобразовательная школа №1"" г. Горнозаводска";Горнозаводск;1
88;"МБОУ ""Средняя общеобразовательная школа №10"" города Усолье-Сибирское Иркутской области";Усолье-Сибирское;1
88;"МАОУ ""Агинская СОШ №1""";Улан-Удэ;1
88;МАОУ СОШ №19 города Улан-Удэ;Улан-Удэ;1
88;МАОУ Гимназия №33 г. Улан-Удэ;Улан-Удэ;1
88;Средняя общеобразовательная школа 70 г.Тюмени;Тюмень;1
88;муниципальное бюджетное общеобразовательное учереждение средняя общеобразовательная школа № 85;Хабаровск;1
87;МАОУ СОШ № 16 г. Томска;Томск;2
87;Специализированный учебно-научный центр федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»;Екатеринбург;2
87;"МБОУ ""Лицей №129"" имени Сибирского батальона 27-й стрелковой дивизии";Барнаул;2
87;Средняя общеобразовательная школа 11 г.Абакан;Абакан;2
87;"Коммунальное государственное учреждение ""Средняя школа №3"" города Курчатова";Курчатов;1
87;Лицей 20 г.Междуреченск;Междуреченск;11
87;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №6"" города Прокопьевска Кемеровской области";Прокопьевск;2
87;"МБОУ ""Советская СОШ""";Советское;2
86;"МБОУ ""Школа 32""";Прокопьевск;3
86;"МБОУ города Новосибирска ""Экономический лицей""";Новосибирск;2
86;Средняя общеобразовательная школа 86 г.Караганды Р.Казахстан;Караганда;1
86;МБОУ “Каргасокская средняя общеобразовательная школа-интернат № 1”;Каргасок;2
86;Бийский лицей-интернат Алтайского края;Бийск;3
86;Физико-математический лицей № 93;Уфа;2
