Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота;Расстояние;
Средняя школа Нгуен Бинь Кхием. г. Халонг. провинция Куангнинь;Халонг;1;91;20,95045;107,07336;4348
Средняя общеобразовательная школа 1 им.Н.Г.Чернышевского г.Семей Р.Казахстан;Семей;1;91;50,42675;80,26669;741
Национальный исследовательский ядерный университет МИФИ;Москва;1;90;55,75222;37,61556;2875
Средняя общеобразовательная школа № 15 г. Кемерово;Кемерово;2;90;55,3909721;86,0467864;139
КГУ Специализированный лицей №24 Экономика и бизнес для одаренных детей с обучением на трех языках г. Талдыкорган Алматинская обл.;Талдыкорган;1;90;45,01556;78,37389;1354
Троицкая средняя общеобразовательная школа Кемеровской обл.;Троицкое;1;89;52,9821;84,6757;390
ФГАОУ ВО Тюменский государственный университет;Тюмень;1;89;57,1530824;65,5343118;1179
Гимназия 24 им.М.В.Октябрьской г.Томск;Томск;1;89;56,4847036;84,9481737;0
Школа-гимназия#45;Шымкент;1;89;42,3;69,6;1919
Средняя общеобразовательная школа 11 г.Киселевск;Киселевск;1;89;54,0060382;86,6367387;295
Гимназия №83;Ижевск;1;89;56,8527444;53,2113961;1921
Гимназия г. Гурьевска;Гурьевск;1;89;54,2860005;85,947723;252
Гимназия г. Гурьевска;Гурьевск;1;89;54,7705368;20,6039109;3892
Школа 90;Железногорск;1;89;52,3378753;35,3516834;3169
Школа 90;Железногорск;1;89;56,2529346;93,532167;529
МАОУ СОШ №4 имени Героя Советского союза Ф.А. Лузана;Абинск;1;89;44,8679931;38,1618437;3458
Муниципальное автономное общеобразовательное учреждение                 «Средняя школа «Комплекс Покровский» №153;Красноярск;1;89;56,009466;92,8524162;491
Гимназия Бэст г.Петропавловск Р.Казахстан;Петропавловск;1;89;54,86667;69,15;1004
МБОУ лицей 22 Надежда сибири;Новосибирск;1;89;55,0281016;82,9210575;206
КГУ Общеобразовательная школа №1 акимата города Сарани;Сарань;1;88;49,7908;72,83744;1095
Средняя школа №3 города Курчатова Р.Казахстан;Курчатов;2;88;51,6605475;35,6571711;3187
Сибирская академия государственной службы;Новосибирск;1;88;55,0281016;82,9210575;206
школа-гимназия №20 имени Титова;Шымкент;2;88;42,3;69,6;1919
МАОУ Сибирский лицей;Томск;3;88;56,4847036;84,9481737;0
Степногорский политехнический колледж;Степногорск;1;87;52,35062;71,88161;960
Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;5;87;56,4847036;84,9481737;0
Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;3;87;55,0455774;60,1077757;1553
Глубоковская средняя школа имени Ы.Алтынсарина ВКО Р.Казахстан;Глубокое;1;87;50,14112;82,31329;726
Школа-гимназия №33 с углубленным изучением экономики и права города Бишкек;Бишкек;1;86;42,87;74,59;1682
Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск;Ангарск;1;86;52,5448102;103,8885385;1293
МАОУ Школа №26;Балашиха;1;86;55,7963352;37,9381413;2854
МБОУ Гимназия №1 Брянского района;Глинищево;1;86;53,30416;34,06523;3196
МАОУ СОШ №93;Кемерово;1;86;55,3909721;86,0467864;139
