Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Кумертау;52.7565537;55.7969915;6;79
Купино;54.3660317;77.2972969;3;87
Курган;55.4443448;65.3161339;47;77
Курск;51.7303391;36.1926448;4;69
Курчатов;51.6605475;35.6571711;55;79
Кызыл;51.7191542;94.4377234;41;69
Кяхта;50.3466291;106.4534938;9;74
Лангепас;61.2536667;75.1807905;13;71
Ленинск-Кузнецкий;54.6674092;86.1796724;100;75
Лесной;58.634981;59.7980528;6;75
Лесосибирск;58.2218201;92.5036986;16;71
Лиски;50.9944734;39.518302;3;67
Лысьва;58.0995987;57.8085728;3;85
Лянтор;61.6391639;72.1793828;3;74
Магнитогорск;53.4071891;58.9791432;19;79
Мариинск;56.2127836;87.7454392;44;72
Мегион;61.0318946;76.1024772;13;74
Медногорск;51.4039421;57.5832185;3;63
Междуреченск;53.6865695;88.0703888;169;77
Мелеуз;52.9590637;55.9283483;2;88
Миасс;55.0455774;60.1077757;37;78
Минусинск;53.7105509;91.6871866;83;75
Мирный;62.5362511;113.9668146;7;64
Мирный;62.7644267;40.3359976;7;64
Михайловка;50.0708749;43.2400847;3;79
Муравленко;63.794188;74.494913;3;66
Мыски;53.7125516;87.8056657;50;70
Набережные Челны;55.7436475;52.3958739;6;79
Надым;65.5377514;72.5182746;6;69
Назарово;56.0113176;90.4167947;78;64
Нариманов;46.6916597;47.8501624;3;68
Находка;42.8240404;132.8927812;6;73
Невинномысск;44.6227404;41.9476147;3;84
Нерюнгри;56.6600322;124.72031;32;73
Нефтекамск;56.0883075;54.2483391;13;75
Нефтеюганск;61.0882837;72.6164185;9;75
Нижневартовск;60.9397379;76.5696206;61;70
Нижнекамск;55.6311963;51.814407;6;81
Нижнеудинск;54.8969105;99.0313481;10;67
Нижний Новгород;56.3242093;44.0053948;9;72
Нижний Тагил;57.9101038;59.9813242;12;70
Новоалександровск;45.4933561;41.2154482;4;73
Новоалтайск;53.4120811;83.9311249;22;72
Новокузнецк;53.7942757;87.2144046;468;74
Новокуйбышевск;53.0995303;49.9477662;3;74
Новопавловск;43.9617565;43.6342855;3;68
Новороссийск;44.7234264;37.7687218;12;74
Новосибирск;55.0281016;82.9210575;636;73
Новотроицк;51.1965071;58.3017455;3;87
Новоузенск;50.4551744;48.1412622;3;79
Новоуральск;57.2471507;60.095701;3;82
Новый Уренгой;66.0840036;76.6810032;11;65
Норильск;69.3490828;88.2009965;19;75
Ноябрьск;63.201846;75.4509665;22;67
Нюрба;63.2828775;118.324325;3;63
Нягань;62.1454839;65.3944361;11;66
Обь;54.9945882;82.6937925;3;68
Озерск;54.4084804;22.013508;3;80
Озерск;55.7631922;60.7076337;3;80
Октябрьский;54.4815344;53.4656611;6;79
Омск;54.9848136;73.3674638;154;75
Оренбург;51.7875191;55.1017379;18;81
Орехово-Зуево;55.8151729;38.9870711;3;79
Орск;51.2293069;58.4751889;18;77
Осинники;53.5987397;87.3369948;63;69
Отрадное;59.772596;30.7988403;3;57
Павловск;50.4533684;40.1369087;9;64
Партизанск;43.1279833;133.1264754;2;61
Первоуральск;56.9081665;59.9429205;6;83
Пермь;58.0103211;56.2341778;30;80
Петровск-Забайкальский;51.2748381;108.8467139;5;71
Петропавловск-Камчатский;53.0370213;158.6559142;5;67
Покачи;61.7421977;75.5942069;6;75
Полысаево;54.6053968;86.2808803;16;70
Прокопьевск;53.8604562;86.7183428;165;73
Псков;57.819284;28.3318188;3;76
Пыть-Ях;60.7585769;72.8366445;6;69
Пятигорск;44.0411669;43.0661091;4;85
Радужный;55.9961034;40.3323247;12;71
Радужный;62.1343067;77.4584346;12;71
Райчихинск;49.7941882;129.4112149;2;64
Ревда;56.79869;59.9071464;6;71
Ростов-на-Дону;47.2224364;39.7187866;3;82
Рубцовск;51.5013075;81.2077729;53;75
Рузаевка;54.0583238;44.949116;6;74
Рыбинск;58.0483802;38.858338;3;73
Салават;53.3616311;55.9245559;3;63
Салаир;54.2351588;85.8029215;9;70
Самара;53.1951657;50.1067691;7;70
Сарапул;56.4616117;53.8036967;9;74
Саратов;51.530376;45.9530257;13;76
Сатка;55.0404497;59.0288153;3;86
Саяногорск;53.1008226;91.4121643;46;70
Светлоград;45.3284769;42.8566923;3;76
Светлый;54.6774051;20.1356625;3;74
Свободный;51.361264;128.1218995;20;72
Северобайкальск;55.6357165;109.3362606;1;53
Северск;56.6031143;84.8809687;271;72
Серов;59.6048651;60.5752136;6;75
Сибай;52.7205811;58.6663303;3;71
Славгород;52.9993053;78.6459674;9;76
Слюдянка;51.6562679;103.7186877;3;62
Снежинск;56.085232;60.7324989;6;75
Сокол;59.4759156;40.1114414;3;77
Соль-Илецк;51.1634976;54.9895391;3;82
Сорск;54.0001451;90.2595674;8;74
Сосновоборск;56.1202088;93.3353411;16;74
Сочи;43.5855829;39.7231419;3;76
Стерлитамак;53.6302498;55.9315707;18;70
Стрежевой;60.7328199;77.6040323;54;72
Сургут;61.2539773;73.3961726;76;71
Сухой Лог;56.9075938;62.0358708;3;67
Сыктывкар;61.668789;50.8356491;13;69
Тавда;58.0434196;65.2743232;3;74
Тайга;56.0622767;85.6207907;33;65
Тарко-Сале;64.9117649;77.7610204;6;64
Таштагол;52.7594505;87.8477272;31;71
Тверь;56.8585396;35.9117898;3;76
Тобольск;58.2016828;68.2538392;16;81
Тогучин;55.2250038;84.4103867;6;65
Тольятти;53.5206438;49.389461;9;77
Томск;56.4847036;84.9481737;2259;72
Топки;55.2766036;85.6153223;10;65
Трехгорный;54.8178174;58.4465039;3;78
Трубчевск;52.5791314;33.7660013;3;65
Тулун;54.5571409;100.5779402;3;70
Туран;52.144932;93.9172495;2;63
Туринск;58.0394258;63.698142;3;70
Тюмень;57.1530824;65.5343118;98;78
Углегорск;49.0816311;142.0693033;3;71
Улан-Удэ;51.8334378;107.5841511;251;74
Ульяновск;54.3080674;48.3748717;4;75
Усолье-Сибирское;52.7567192;103.6387694;24;74
Уссурийск;43.79726;131.9517262;12;72
